Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
66;A Traves Del Armario [HDTV][720p][Cap.101];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;101;66;magnet:?xt=urn:btih:13d3608aee40192706bc0986605b3f7f955bdbf7;13d3608aee40192706bc0986605b3f7f955bdbf7;5f99c2ee9016864668a8989842a3166b74e6ab13;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
67;A Traves Del Armario [HDTV][720p][Cap.102];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;102;67;magnet:?xt=urn:btih:3b57557c60358c93c51aa06c0d6454c327426236;3b57557c60358c93c51aa06c0d6454c327426236;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
68;A Traves Del Armario [HDTV][720p][Cap.103];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;103;68;magnet:?xt=urn:btih:0886cb9e87877d526760d192bf758469b253f586;0886cb9e87877d526760d192bf758469b253f586;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
69;A Traves Del Armario [HDTV][720p][Cap.104];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;104;69;magnet:?xt=urn:btih:44a23e6356e2731f5ff88bb87113accd1b7aae21;44a23e6356e2731f5ff88bb87113accd1b7aae21;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
70;A Traves Del Armario [HDTV][720p][Cap.105];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;105;70;magnet:?xt=urn:btih:7e2fc30d19e52cc36dc1aa2969ccca5aecedc135;7e2fc30d19e52cc36dc1aa2969ccca5aecedc135;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
71;A Traves Del Armario [HDTV][720p][Cap.106];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;106;71;magnet:?xt=urn:btih:e560a5f091569d837550dcf0a49ddb8b770a7449;e560a5f091569d837550dcf0a49ddb8b770a7449;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
72;A Traves Del Armario [HDTV][720p][Cap.107];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;107;72;magnet:?xt=urn:btih:3ae0d5ceca8a1e1501f410341b1e68578f036d21;3ae0d5ceca8a1e1501f410341b1e68578f036d21;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
73;A Traves Del Armario [HDTV][720p][Cap.108];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;108;73;magnet:?xt=urn:btih:347079de584c4e355ac8cfbec90d799f5bb02112;347079de584c4e355ac8cfbec90d799f5bb02112;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
74;A Traves Del Armario [HDTV][720p][Cap.109];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;109;74;magnet:?xt=urn:btih:f682f661bc11eb532cc28e0c137112ffcd064adc;f682f661bc11eb532cc28e0c137112ffcd064adc;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
75;A Traves Del Armario [HDTV][720p][Cap.110];A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;110;75;magnet:?xt=urn:btih:87db59e9837d8ee22eb75f509d67270517513bad;87db59e9837d8ee22eb75f509d67270517513bad;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
